Date,Open,High,Low,Close,Volume,Adj_Close,Code
2015-08-07,143.220001,143.839996,141.699997,142.419998,2953200,140.247028,BA
2015-08-06,144.699997,145.25,143.419998,143.820007,2457000,141.625677,BA
2015-08-05,143.899994,145.600006,143.770004,144.949997,2926100,142.738426,BA
2015-08-04,143.550003,144.869995,143.039993,143.539993,1973000,140.453816,BA
2015-08-03,144.440002,144.75,142.589996,143.690002,3088000,140.6006,BA
2015-07-31,143.759995,144.919998,143.289993,144.169998,3163500,141.070276,BA
2015-07-30,143.350006,143.919998,142.210007,143.009995,2644000,139.935213,BA
2015-07-29,142.479996,144.610001,142.369995,144.139999,3260400,141.040922,BA
2015-07-28,141.610001,142.169998,139.509995,141.809998,4138200,138.761016,BA
2015-07-27,143.220001,143.350006,140.800003,141.029999,3532100,137.997788,BA
2015-07-24,145.809998,146.470001,143.979996,144.059998,2455000,140.96264,BA
2015-07-23,147,147.949997,145.789993,146.110001,4116000,142.968567,BA
2015-07-22,148.899994,149.179993,145.110001,146.470001,6238400,143.320828,BA
2015-07-21,146.589996,146.589996,144.220001,145,4452600,141.882432,BA
2015-07-20,147.110001,147.199997,145.910004,146.720001,3016100,143.565452,BA
2015-07-17,147.25,147.440002,146.020004,146.839996,3127100,143.682868,BA
2015-07-16,147.789993,148.800003,147.770004,148.490005,2509600,145.297401,BA
2015-07-15,147.75,147.75,146.479996,146.889999,2653900,143.731796,BA
2015-07-14,146.759995,148.300003,146.449997,147.75,3388800,144.573306,BA
2015-07-13,145.960007,146.75,145.600006,146.619995,2194200,143.467597,BA
2015-07-10,144.139999,145.190002,143.869995,144.479996,2192100,141.373608,BA
2015-07-09,143.889999,144.199997,142.729996,142.800003,2486800,139.729736,BA
2015-07-08,142.5,143.149994,141.520004,141.919998,3386500,138.868652,BA
2015-07-07,140.800003,143.440002,140.139999,143.149994,3712000,140.072202,BA
2015-07-06,139.020004,140.729996,139,140.520004,2093400,137.498758,BA
2015-07-02,141.289993,141.520004,139.880005,140.210007,2116500,137.195426,BA
2015-07-01,140.479996,141.139999,140.020004,140.729996,3260900,137.704235,BA
2015-06-30,140.059998,140.059998,138.440002,138.720001,3434800,135.737456,BA
2015-06-29,140.960007,141.320007,138.580002,138.729996,3755500,135.747236,BA
2015-06-26,143.029999,143.039993,141.889999,142.479996,3153300,139.416609,BA
2015-06-25,143.270004,143.759995,142.339996,142.449997,2153800,139.387255,BA
2015-06-24,143.759995,144.800003,142.509995,143,3989100,139.925433,BA
2015-06-23,146.330002,146.449997,143.800003,144.429993,2864400,141.32468,BA
2015-06-22,146.070007,146.210007,145.089996,145.699997,2086100,142.567379,BA
2015-06-19,145.190002,146.100006,144.949997,145.130005,4837300,142.009642,BA
2015-06-18,143.910004,146.529999,143.910004,145.380005,3728900,142.254267,BA
2015-06-17,142.869995,144,141.899994,143.429993,2775400,140.346181,BA
2015-06-16,141.419998,143.580002,141.419998,142.339996,2450600,139.27962,BA
2015-06-15,142.039993,142.589996,141.279999,142.289993,2631400,139.230692,BA
2015-06-12,142.619995,142.860001,141.089996,142.800003,2395200,139.729736,BA
2015-06-11,142.009995,143.979996,141.75,142.960007,2924500,139.8863,BA
2015-06-10,140.679993,142.600006,140.289993,141.619995,2784400,138.575099,BA
2015-06-09,140.5,140.990005,139.899994,140.100006,2647600,137.08779,BA
2015-06-08,140.240005,141.350006,140.199997,140.639999,2756600,137.616174,BA
2015-06-05,141.039993,141.369995,140.050003,140.729996,3215600,137.704235,BA
2015-06-04,143.220001,143.229996,140.949997,141.190002,3239500,138.154351,BA
2015-06-03,143.779999,145.059998,142.889999,143.809998,3755800,140.718015,BA
2015-06-02,141.440002,144.460007,140.630005,143.25,4986500,140.170058,BA
2015-06-01,141.449997,142.050003,140.270004,141.25,3897000,138.213059,BA
2015-05-29,142.259995,142.259995,140.320007,140.520004,6199200,137.498758,BA
2015-05-28,142.509995,145.289993,141.580002,142.330002,3103200,139.26984,BA
2015-05-27,143.419998,143.75,142.580002,143,2837100,139.925433,BA
2015-05-26,144.339996,144.429993,142.160004,142.800003,3476800,139.729736,BA
2015-05-22,147.259995,147.270004,144.800003,144.809998,3878000,141.696515,BA
