Date,Open,High,Low,Close,Volume,Adj Close,Code
2015-08-06,54.5,54.68,54.169998,54.470001,5452400,53.428646,DD
2015-08-05,55.470001,55.619999,54.290001,54.57,4783100,53.526733,DD
2015-08-04,55.23,55.48,54.470001,54.639999,4851800,53.595395,DD
2015-08-03,55.880001,56,54.880001,55.290001,4822900,54.232969,DD
2015-07-31,55.950001,56.110001,55.48,55.759998,4804100,54.693981,DD
2015-07-30,55.369999,55.75,55.16,55.59,3596000,54.527233,DD
2015-07-29,56.029999,56.439999,55.25,55.459999,6331000,54.399718,DD
2015-07-28,53.380001,57.25,52.790001,55.900002,13935600,54.831308,DD
2015-07-27,56.830002,57.060001,56.259998,56.73,6172200,55.645438,DD
2015-07-24,58.400002,58.639999,56.59,56.939999,5352300,55.851423,DD
2015-07-23,59.02,59.099998,58.27,58.48,3231800,57.361982,DD
2015-07-22,59.549999,59.549999,58.73,58.900002,3780000,57.773954,DD
2015-07-21,59.439999,60.150002,59.060001,59.279999,4372800,58.146687,DD
2015-07-20,59.830002,59.849998,59.07,59.57,4215600,58.431143,DD
2015-07-17,59.610001,59.740002,59.23,59.669998,4479400,58.52923,DD
2015-07-16,59.16,60,58.919998,59.77,6469900,58.62732,DD
2015-07-15,59.759998,59.790001,58.810001,59,4419800,57.872041,DD
2015-07-14,59.41,59.650002,59.02,59.43,3476500,58.29382,DD
2015-07-13,58.880001,59.830002,58.75,59.509998,6047800,58.372289,DD
2015-07-10,58.380001,58.66,57.91,58.25,4910100,57.136379,DD
2015-07-09,59.099998,59.150002,57.869999,57.900002,6661900,56.793072,DD
2015-07-08,58.790001,58.799999,58.060001,58.16,5544900,57.0481,DD
2015-07-07,59.82,60.040001,58.919998,59.099998,8859700,57.970128,DD
2015-07-06,59.57,60.240002,59.07,60,8139700,58.852923,DD
2015-07-02,61.09,61.209999,59.810001,59.990002,12006300,58.843116,DD
2015-07-01,61.630001,61.93,61.290001,61.43,5796500,60.255585,DD
2015-06-30,64.26,64.669998,63.629997,63.949997,7601800,59.570185,DD
2015-06-29,64.759996,65.549999,63.549997,63.639999,8092900,59.281417,DD
2015-06-26,66.379999,66.689997,65.559997,65.599998,10638500,61.107179,DD
2015-06-25,66.549997,66.759999,66.119998,66.15,5660900,61.619514,DD
2015-06-24,68.200001,68.329995,66.139998,66.199998,10266600,61.666087,DD
2015-06-23,69.679995,70.079995,68.489995,68.499997,7114800,63.808564,DD
2015-06-22,69.939999,70.199996,69.630001,69.990001,3201200,65.19652,DD
2015-06-19,69.969997,70.169998,69.659999,69.839995,5323800,65.056788,DD
2015-06-18,69.489997,70.550002,69.339998,70.150002,3903600,65.345562,DD
2015-06-17,69.409997,69.809997,69.049996,69.489997,3594300,64.73076,DD
2015-06-16,69.000002,69.459999,68.800002,69.35,2876900,64.600352,DD
2015-06-15,68.859998,69.169996,68.299997,69.049996,3850000,64.320894,DD
